[current config]
- [YUYV] w: 640, h: 480, fps: 30/1
[available formats]
- [YUYV] w: 640, h: 480, fps: 30/1
- [YUYV] w: 640, h: 480, fps: 25/1
- [YUYV] w: 640, h: 480, fps: 20/1
- [YUYV] w: 640, h: 480, fps: 15/1
- [YUYV] w: 640, h: 480, fps: 10/1
- [YUYV] w: 640, h: 480, fps: 5/1
- [YUYV] w: 160, h: 120, fps: 30/1
- [YUYV] w: 160, h: 120, fps: 25/1
- [YUYV] w: 160, h: 120, fps: 20/1
- [YUYV] w: 160, h: 120, fps: 15/1
- [YUYV] w: 160, h: 120, fps: 10/1
- [YUYV] w: 160, h: 120, fps: 5/1
- [YUYV] w: 176, h: 144, fps: 30/1
- [YUYV] w: 176, h: 144, fps: 25/1
- [YUYV] w: 176, h: 144, fps: 20/1
- [YUYV] w: 176, h: 144, fps: 15/1
- [YUYV] w: 176, h: 144, fps: 10/1
- [YUYV] w: 176, h: 144, fps: 5/1
- [YUYV] w: 320, h: 176, fps: 30/1
- [YUYV] w: 320, h: 176, fps: 25/1
- [YUYV] w: 320, h: 176, fps: 20/1
- [YUYV] w: 320, h: 176, fps: 15/1
- [YUYV] w: 320, h: 176, fps: 10/1
- [YUYV] w: 320, h: 176, fps: 5/1
- [YUYV] w: 320, h: 240, fps: 30/1
- [YUYV] w: 320, h: 240, fps: 25/1
- [YUYV] w: 320, h: 240, fps: 20/1
- [YUYV] w: 320, h: 240, fps: 15/1
- [YUYV] w: 320, h: 240, fps: 10/1
- [YUYV] w: 320, h: 240, fps: 5/1
- [YUYV] w: 352, h: 288, fps: 30/1
- [YUYV] w: 352, h: 288, fps: 25/1
- [YUYV] w: 352, h: 288, fps: 20/1
- [YUYV] w: 352, h: 288, fps: 15/1
- [YUYV] w: 352, h: 288, fps: 10/1
- [YUYV] w: 352, h: 288, fps: 5/1
- [YUYV] w: 432, h: 240, fps: 30/1
- [YUYV] w: 432, h: 240, fps: 25/1
- [YUYV] w: 432, h: 240, fps: 20/1
- [YUYV] w: 432, h: 240, fps: 15/1
- [YUYV] w: 432, h: 240, fps: 10/1
- [YUYV] w: 432, h: 240, fps: 5/1
- [YUYV] w: 544, h: 288, fps: 30/1
- [YUYV] w: 544, h: 288, fps: 25/1
- [YUYV] w: 544, h: 288, fps: 20/1
- [YUYV] w: 544, h: 288, fps: 15/1
- [YUYV] w: 544, h: 288, fps: 10/1
- [YUYV] w: 544, h: 288, fps: 5/1
- [YUYV] w: 640, h: 360, fps: 30/1
- [YUYV] w: 640, h: 360, fps: 25/1
- [YUYV] w: 640, h: 360, fps: 20/1
- [YUYV] w: 640, h: 360, fps: 15/1
- [YUYV] w: 640, h: 360, fps: 10/1
- [YUYV] w: 640, h: 360, fps: 5/1
- [YUYV] w: 752, h: 416, fps: 25/1
- [YUYV] w: 752, h: 416, fps: 20/1
- [YUYV] w: 752, h: 416, fps: 15/1
- [YUYV] w: 752, h: 416, fps: 10/1
- [YUYV] w: 752, h: 416, fps: 5/1
- [YUYV] w: 800, h: 448, fps: 20/1
- [YUYV] w: 800, h: 448, fps: 15/1
- [YUYV] w: 800, h: 448, fps: 10/1
- [YUYV] w: 800, h: 448, fps: 5/1
- [YUYV] w: 800, h: 600, fps: 20/1
- [YUYV] w: 800, h: 600, fps: 15/1
- [YUYV] w: 800, h: 600, fps: 10/1
- [YUYV] w: 800, h: 600, fps: 5/1
- [YUYV] w: 864, h: 480, fps: 20/1
- [YUYV] w: 864, h: 480, fps: 15/1
- [YUYV] w: 864, h: 480, fps: 10/1
- [YUYV] w: 864, h: 480, fps: 5/1
- [YUYV] w: 960, h: 544, fps: 15/1
- [YUYV] w: 960, h: 544, fps: 10/1
- [YUYV] w: 960, h: 544, fps: 5/1
- [YUYV] w: 960, h: 720, fps: 10/1
- [YUYV] w: 960, h: 720, fps: 5/1
- [YUYV] w: 1024, h: 576, fps: 10/1
- [YUYV] w: 1024, h: 576, fps: 5/1
- [YUYV] w: 1184, h: 656, fps: 10/1
- [YUYV] w: 1184, h: 656, fps: 5/1
- [YUYV] w: 1280, h: 720, fps: 15/2
- [YUYV] w: 1280, h: 720, fps: 5/1
- [YUYV] w: 1280, h: 960, fps: 15/2
- [YUYV] w: 1280, h: 960, fps: 5/1
- [MJPG] w: 640, h: 480, fps: 30/1
- [MJPG] w: 640, h: 480, fps: 25/1
- [MJPG] w: 640, h: 480, fps: 20/1
- [MJPG] w: 640, h: 480, fps: 15/1
- [MJPG] w: 640, h: 480, fps: 10/1
- [MJPG] w: 640, h: 480, fps: 5/1
- [MJPG] w: 160, h: 120, fps: 30/1
- [MJPG] w: 160, h: 120, fps: 25/1
- [MJPG] w: 160, h: 120, fps: 20/1
- [MJPG] w: 160, h: 120, fps: 15/1
- [MJPG] w: 160, h: 120, fps: 10/1
- [MJPG] w: 160, h: 120, fps: 5/1
- [MJPG] w: 176, h: 144, fps: 30/1
- [MJPG] w: 176, h: 144, fps: 25/1
- [MJPG] w: 176, h: 144, fps: 20/1
- [MJPG] w: 176, h: 144, fps: 15/1
- [MJPG] w: 176, h: 144, fps: 10/1
- [MJPG] w: 176, h: 144, fps: 5/1
- [MJPG] w: 320, h: 176, fps: 30/1
- [MJPG] w: 320, h: 176, fps: 25/1
- [MJPG] w: 320, h: 176, fps: 20/1
- [MJPG] w: 320, h: 176, fps: 15/1
- [MJPG] w: 320, h: 176, fps: 10/1
- [MJPG] w: 320, h: 176, fps: 5/1
- [MJPG] w: 320, h: 240, fps: 30/1
- [MJPG] w: 320, h: 240, fps: 25/1
- [MJPG] w: 320, h: 240, fps: 20/1
- [MJPG] w: 320, h: 240, fps: 15/1
- [MJPG] w: 320, h: 240, fps: 10/1
- [MJPG] w: 320, h: 240, fps: 5/1
- [MJPG] w: 352, h: 288, fps: 30/1
- [MJPG] w: 352, h: 288, fps: 25/1
- [MJPG] w: 352, h: 288, fps: 20/1
- [MJPG] w: 352, h: 288, fps: 15/1
- [MJPG] w: 352, h: 288, fps: 10/1
- [MJPG] w: 352, h: 288, fps: 5/1
- [MJPG] w: 432, h: 240, fps: 30/1
- [MJPG] w: 432, h: 240, fps: 25/1
- [MJPG] w: 432, h: 240, fps: 20/1
- [MJPG] w: 432, h: 240, fps: 15/1
- [MJPG] w: 432, h: 240, fps: 10/1
- [MJPG] w: 432, h: 240, fps: 5/1
- [MJPG] w: 544, h: 288, fps: 30/1
- [MJPG] w: 544, h: 288, fps: 25/1
- [MJPG] w: 544, h: 288, fps: 20/1
- [MJPG] w: 544, h: 288, fps: 15/1
- [MJPG] w: 544, h: 288, fps: 10/1
- [MJPG] w: 544, h: 288, fps: 5/1
- [MJPG] w: 640, h: 360, fps: 30/1
- [MJPG] w: 640, h: 360, fps: 25/1
- [MJPG] w: 640, h: 360, fps: 20/1
- [MJPG] w: 640, h: 360, fps: 15/1
- [MJPG] w: 640, h: 360, fps: 10/1
- [MJPG] w: 640, h: 360, fps: 5/1
- [MJPG] w: 752, h: 416, fps: 30/1
- [MJPG] w: 752, h: 416, fps: 25/1
- [MJPG] w: 752, h: 416, fps: 20/1
- [MJPG] w: 752, h: 416, fps: 15/1
- [MJPG] w: 752, h: 416, fps: 10/1
- [MJPG] w: 752, h: 416, fps: 5/1
- [MJPG] w: 800, h: 448, fps: 30/1
- [MJPG] w: 800, h: 448, fps: 25/1
- [MJPG] w: 800, h: 448, fps: 20/1
- [MJPG] w: 800, h: 448, fps: 15/1
- [MJPG] w: 800, h: 448, fps: 10/1
- [MJPG] w: 800, h: 448, fps: 5/1
- [MJPG] w: 800, h: 600, fps: 30/1
- [MJPG] w: 800, h: 600, fps: 25/1
- [MJPG] w: 800, h: 600, fps: 20/1
- [MJPG] w: 800, h: 600, fps: 15/1
- [MJPG] w: 800, h: 600, fps: 10/1
- [MJPG] w: 800, h: 600, fps: 5/1
- [MJPG] w: 864, h: 480, fps: 30/1
- [MJPG] w: 864, h: 480, fps: 25/1
- [MJPG] w: 864, h: 480, fps: 20/1
- [MJPG] w: 864, h: 480, fps: 15/1
- [MJPG] w: 864, h: 480, fps: 10/1
- [MJPG] w: 864, h: 480, fps: 5/1
- [MJPG] w: 960, h: 544, fps: 30/1
- [MJPG] w: 960, h: 544, fps: 25/1
- [MJPG] w: 960, h: 544, fps: 20/1
- [MJPG] w: 960, h: 544, fps: 15/1
- [MJPG] w: 960, h: 544, fps: 10/1
- [MJPG] w: 960, h: 544, fps: 5/1
- [MJPG] w: 960, h: 720, fps: 30/1
- [MJPG] w: 960, h: 720, fps: 25/1
- [MJPG] w: 960, h: 720, fps: 20/1
- [MJPG] w: 960, h: 720, fps: 15/1
- [MJPG] w: 960, h: 720, fps: 10/1
- [MJPG] w: 960, h: 720, fps: 5/1
- [MJPG] w: 1024, h: 576, fps: 30/1
- [MJPG] w: 1024, h: 576, fps: 25/1
- [MJPG] w: 1024, h: 576, fps: 20/1
- [MJPG] w: 1024, h: 576, fps: 15/1
- [MJPG] w: 1024, h: 576, fps: 10/1
- [MJPG] w: 1024, h: 576, fps: 5/1
- [MJPG] w: 1184, h: 656, fps: 30/1
- [MJPG] w: 1184, h: 656, fps: 25/1
- [MJPG] w: 1184, h: 656, fps: 20/1
- [MJPG] w: 1184, h: 656, fps: 15/1
- [MJPG] w: 1184, h: 656, fps: 10/1
- [MJPG] w: 1184, h: 656, fps: 5/1
- [MJPG] w: 1280, h: 720, fps: 30/1
- [MJPG] w: 1280, h: 720, fps: 25/1
- [MJPG] w: 1280, h: 720, fps: 20/1
- [MJPG] w: 1280, h: 720, fps: 15/1
- [MJPG] w: 1280, h: 720, fps: 10/1
- [MJPG] w: 1280, h: 720, fps: 5/1
- [MJPG] w: 1280, h: 960, fps: 30/1
- [MJPG] w: 1280, h: 960, fps: 25/1
- [MJPG] w: 1280, h: 960, fps: 20/1
- [MJPG] w: 1280, h: 960, fps: 15/1
- [MJPG] w: 1280, h: 960, fps: 10/1
- [MJPG] w: 1280, h: 960, fps: 5/1
